,PUBCHEM_COMPOUND_CID,neutral_form,salt_CID,PUBCHEM_IUPAC_NAME,PUBCHEM_MOLECULAR_WEIGHT,PUBCHEM_SMILES,PUBCHEM_TOTAL_CHARGE,Canonical_SMILES,Radius,element_list,positive_subs_radius_0,positive_subs_radius_1,positive_subs_radius_2,negative_subs_radius_0,negative_subs_radius_1,negative_subs_radius_2,DataSource,Normalized_SMILES,target,target_CID,Purchasable,Features,pubchem_target,pubchem_target_CID,Degree of Substitution,Substituent_Type,Binding Energy,Additive,Unnamed: 0
0,23270443,[NH4+].[OH-]^^^N,14923^^^222,deuterioazanium,19.045,[2H][NH3+],1,[2H][NH3+],1.0268050332950265,"H,N",[NH3+]*,[NH3+][2H],,,,,pubchem_3D,[NH4+].[OH-],,,,,[NH4+].[OH-]^^^N,14923^^^222,no substitution,Unclassified,3.385909999999967,Ammonium,
1,23278985,[NH4+].[OH-]^^^N,14923^^^222,dideuterioazanium,20.051,[2H][NH2+][2H],1,[2H][NH2+][2H],1.0268050332950265,"H,N",[NH2+](*)*,[NH2+]([2H])[2H],,,,,pubchem_3D,[NH4+].[OH-],,,,,[NH4+].[OH-]^^^N,14923^^^222,no substitution,Unclassified,3.2946600000000217,Ammonium,
2,23278986,[NH4+].[OH-]^^^N,14923^^^222,trideuterioazanium,21.057,[2H][NH+]([2H])[2H],1,[2H][NH+]([2H])[2H],1.0268050332950265,"H,N",[NH+](*)(*)*,[NH+]([2H])([2H])[2H],,,,,pubchem_3D,[NH4+].[OH-],,,,,[NH4+].[OH-]^^^N,14923^^^222,no substitution,Unclassified,3.811739999999986,Ammonium,
3,23278987,[NH4+].[OH-]^^^N,14923^^^222,tetradeuterioazanium,22.063,[2H][N+]([2H])([2H])[2H],1,[2H][N+]([2H])([2H])[2H],1.0268050332950265,"H,N",[N+](*)(*)(*)*,[N+]([2H])([2H])([2H])[2H],,,,,pubchem_3D,[NH4+].[OH-],,,,,N^^^[NH4+].[OH-],222^^^14923,no substitution,Unclassified,3.62362,Ammonium,
4,59814356,C[NH],142687,,31.057,C[NH2+],1,C[NH2+],1.5236721663812718,"C,N",[NH2+]*,[NH2+]C,,,,,calculated,C[NH2+],,,,,C[NH],142687,primary,medium_EDG,1.5842799999999215,Ammonium,
5,644041,C[NH3+].[F-]^^^C[NH3+].[Cl-]^^^C[NH3+].[Br-]^^^C[NH3+].[I-]^^^C[NH3+].[OH-]^^^CN,14574637^^^139242875^^^163575373^^^519034^^^21871530^^^6329,methylazanium,32.065,C[NH3+],1,C[NH3+],1.5039879986223292,"C,N",[NH3+]*,[NH3+]C,,,,,pubchem_3D,C[NH3+].[F-],,,,,C[NH3+].[I-]^^^CN,519034^^^6329,primary,medium_EDG,3.623440000000073,Ammonium,
6,91804375,C[NH3+].[F-]^^^C[NH3+].[Cl-]^^^C[NH3+].[Br-]^^^C[NH3+].[I-]^^^C[NH3+].[OH-]^^^CN,14574637^^^139242875^^^163575373^^^519034^^^21871530^^^6329,trideuterio(methyl)azanium,35.084,[2H][N+]([2H])([2H])C,1,[2H][N+]([2H])([2H])C,1.5039027712297428,"C,H,N",[N+](*)(*)(*)*,[N+]([2H])([2H])([2H])C,,,,,pubchem_3D,C[NH3+].[F-],,,,,C[NH3+].[I-]^^^CN,519034^^^6329,primary,medium_EDG,3.780610000000024,Ammonium,
7,102210931,C[NH3+].[F-]^^^C[NH3+].[Cl-]^^^C[NH3+].[Br-]^^^C[NH3+].[I-]^^^C[NH3+].[OH-]^^^CN,14574637^^^139242875^^^163575373^^^519034^^^21871530^^^6329,trideuteriomethylazanium,35.084,[2H]C([2H])([2H])[NH3+],1,[2H]C([2H])([2H])[NH3+],1.5039027712297428,"C,H,N",[NH3+]*,[NH3+]C(*)(*)*,[NH3+]C([2H])([2H])[2H],,,,pubchem_3D,C[NH3+].[F-],,,,,C[NH3+].[I-]^^^CN,519034^^^6329,primary,medium_EDG,3.685649999999896,Ammonium,
8,140640780,C[NH3+].[F-]^^^C[NH3+].[Cl-]^^^C[NH3+].[Br-]^^^C[NH3+].[I-]^^^C[NH3+].[OH-]^^^CN,14574637^^^139242875^^^163575373^^^519034^^^21871530^^^6329,methyl(ditritio)azanium,36.081,[3H][NH+]([3H])C,1,[3H][NH+]([3H])C,1.5039027712297428,"C,H,N",[NH+](*)(*)*,[NH+]([3H])([3H])C,,,,,pubchem_3D,C[NH3+].[F-],,,,,CN^^^C[NH3+].[I-],6329^^^519034,primary,medium_EDG,3.7786200000000463,Ammonium,
9,101181804,C[NH3+].[F-]^^^C[NH3+].[Cl-]^^^C[NH3+].[Br-]^^^C[NH3+].[I-]^^^C[NH3+].[OH-]^^^CN,14574637^^^139242875^^^163575373^^^519034^^^21871530^^^6329,trideuterio(trideuteriomethyl)azanium,38.102,[2H]C([2H])([2H])[N+]([2H])([2H])[2H],1,[2H]C([2H])([2H])[N+]([2H])([2H])[2H],1.5039027712297428,"C,H,N",[N+](*)(*)(*)*,[N+]([2H])([2H])([2H])C(*)(*)*,[N+]([2H])([2H])([2H])C([2H])([2H])[2H],,,,pubchem_3D,C[NH3+].[F-],,,,,CN^^^C[NH3+].[I-],6329^^^519034,primary,medium_EDG,3.6196499999999774,Ammonium,
